時,気圧(hPa),降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/㎡),雪(cm),天気,雲量,視程(km)
1,1013.7,1016.7,--,7.7,-2.3,5.2,49,1.5,北西,,,--,--,,,
2,1013.8,1016.8,--,7.3,-1.9,5.3,52,2.2,北,,,--,--,,,
3,1013.4,1016.4,--,7.2,-2.2,5.2,51,2.2,北,,,--,--,,10-,40.0
4,1013.5,1016.5,--,7.3,-2.2,5.2,51,2.3,北,,,--,--,,,
5,1013.6,1016.6,--,7.6,-2.1,5.2,50,1.6,北,,,--,--,,,
6,1013.7,1016.7,--,7.6,-2.1,5.2,50,2.3,北,,,--,--,,10-,40.0
7,1014.0,1017.0,--,7.2,-1.5,5.5,54,2.5,北北東,0.0,0.01,--,--,,,
8,1014.3,1017.3,--,7.5,-0.9,5.7,55,2.8,北北東,0.0,0.21,--,--,,,
9,1014.3,1017.3,--,7.9,-2.1,5.2,49,1.4,北,0.3,0.67,--,--,,9,30.0
10,1013.7,1016.7,--,9.2,-1.5,5.5,47,2.1,東北東,0.8,1.48,--,--,,,
11,1012.6,1015.5,--,10.7,-1.4,5.5,43,1.9,北北東,0.9,1.81,--,--,,,
12,1011.7,1014.6,--,11.5,-2.3,5.2,38,1.6,北北東,0.9,2.29,--,--,,6,40.0
13,1010.6,1013.5,--,12.2,-1.0,5.7,40,1.7,南東,1.0,2.19,--,--,,,
14,1010.5,1013.4,--,11.0,0.7,6.4,49,2.4,南,0.1,0.73,--,--,,,
15,1010.2,1013.1,--,11.2,1.7,6.9,52,3.2,南南東,0.4,0.71,--,--,,3,40.0
16,1010.1,1013.0,--,10.6,1.9,7.0,55,2.5,南東,1.0,0.42,--,--,,,
17,1010.1,1013.0,--,9.3,2.6,7.4,63,2.3,南南東,0.0,0.02,--,--,,,
18,1010.4,1013.4,--,8.2,2.5,7.3,67,0.5,西南西,,,--,--,,0+,35.0
19,1010.6,1013.6,--,8.7,2.3,7.2,64,2.7,北北東,,,--,--,,,
20,1011.2,1014.2,--,8.4,1.1,6.6,60,1.6,北北西,,,--,--,,,
21,1011.6,1014.6,--,8.6,1.1,6.6,59,1.8,北北西,,,--,--,,0,35.0
22,1012.0,1015.0,--,7.6,0.8,6.5,62,2.2,北西,,,--,--,,,
23,1012.4,1015.4,--,7.4,0.4,6.3,61,2.8,北西,,,--,--,,,
24,1012.3,1015.3,--,6.4,-0.1,6.1,63,1.7,北西,,,--,--,,,
